Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
2,6,"Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman.",kufur sama bagi apakah beri ingat beri ingat iman,kufur sama bagi apakah beri peringatan beri peringatan beriman,sesungguhnya orang orang yang kufur itu sama saja bagi mereka apakah engkau beri peringatan atau tidak engkau beri peringatan mereka tidak akan beriman
2,7,"Allah telah mengunci hati dan pendengaran mereka.) Pada penglihatan mereka ada penutup, dan bagi mereka azab yang sangat berat.",kunci hati dengar lihat ada tutup bagi azab berat,mengunci hati pendengaran penglihatan ada penutup bagi azab berat,allah telah mengunci hati dan pendengaran mereka pada penglihatan mereka ada penutup dan bagi mereka azab yang sangat berat
2,8,"Di antara manusia ada yang berkata,  Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya mereka itu bukanlah orang-orang mukmin.",antara manusia iman hari akhir padahal bukan mukmin,antara manusia beriman hari akhir padahal bukanlah mukmin,di antara manusia ada yang berkata kami beriman kepada allah dan hari akhir padahal sesungguhnya mereka itu bukanlah orang orang mukmin
2,9,"Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari.",tipu iman padahal hanya tipu diri sendiri sadar,menipu beriman padahal hanyalah menipu diri sendiri sadari,mereka menipu allah dan orang orang yang beriman padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari
2,10,"Dalam hati mereka ada penyakit,) lalu Allah menambah penyakitnya dan mereka mendapat azab yang sangat pedih karena mereka selalu berdusta.",hati ada sakit tambah sakit dapat azab pedih selalu dusta,hati ada penyakit menambah penyakitnya mendapat azab pedih selalu berdusta,dalam hati mereka ada penyakit lalu allah menambah penyakitnya dan mereka mendapat azab yang sangat pedih karena mereka selalu berdusta
2,11,"Apabila dikatakan kepada mereka,  Janganlah berbuat kerusakan di bumi,”) mereka menjawab,  Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan.”",apabila kata jangan buat rusa bumi jawab hanya laku baik,apabila dikatakan janganlah berbuat kerusakan bumi menjawab hanyalah melakukan perbaikan,apabila dikatakan kepada mereka janganlah berbuat kerusakan di bumi mereka menjawab sesungguhnya kami hanyalah orang orang yang melakukan perbaikan
2,12,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari.",ingat mereka buat rusa sadar,ingatlah merekalah berbuat kerusakan menyadari,ingatlah sesungguhnya merekalah yang berbuat kerusakan tetapi mereka tidak menyadari
2,13,"Apabila dikatakan kepada mereka,  Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menjawab,  Apakah kami akan beriman seperti orang-orang yang picik akalnya itu beriman?” Ingatlah, sesungguhnya mereka itulah orang-orang yang picik akalnya, tetapi mereka tidak tahu.",apabila kata rim bagaimana iman jawab iman picik akal iman ingat itu picik akal tahu,apabila dikatakan berimanlah sebagaimana beriman menjawab beriman picik akalnya beriman ingatlah itulah picik akalnya tahu,apabila dikatakan kepada mereka berimanlah kamu sebagaimana orang lain telah beriman mereka menjawab apakah kami akan beriman seperti orang orang yang picik akalnya itu beriman ingatlah sesungguhnya mereka itulah orang orang yang picik akalnya tetapi mereka tidak tahu
2,14,"Apabila mereka berjumpa dengan orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi apabila mereka menyendiri dengan setan-setan (para pemimpin) mereka, mereka berkata,  Sesungguhnya kami bersama kamu, kami hanya pengolok-olok.”",apabila jumpa iman iman apabila sendiri setan setan sama hanya olok olok,apabila berjumpa beriman beriman apabila menyendiri setan setan bersama hanya pengolok olok,apabila mereka berjumpa dengan orang yang beriman mereka berkata kami telah beriman akan tetapi apabila mereka menyendiri dengan setan setan mereka mereka berkata sesungguhnya kami bersama kamu kami hanya pengolok olok
2,15,Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan.,olok olok biar terombang ambing sesat,memperolok olokkan membiarkan terombang ambing kesesatan,allah akan memperolok olokkan dan membiarkan mereka terombang ambing dalam kesesatan
2,16,"Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaannya dan mereka bukanlah orang-orang yang mendapatkan petunjuk.",itu beli sesat tunjuk tidak untung niaga bukan dapat tunjuk,itulah membeli kesesatan petunjuk tidaklah beruntung perniagaannya bukanlah mendapatkan petunjuk,mereka itulah orang orang yang membeli kesesatan dengan petunjuk maka tidaklah beruntung perniagaannya dan mereka bukanlah orang orang yang mendapatkan petunjuk
2,17,"Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat.",umpama seperti nyala api rang keliling lenyap cahaya biar gelap dapat lihat,perumpamaan seperti menyalakan api menerangi sekelilingnya melenyapkan cahaya membiarkan kegelapan dapat melihat,perumpamaan mereka seperti orang yang menyalakan api setelah menerangi sekelilingnya allah melenyapkan cahaya mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat
2,18,"(Mereka) tuli, bisu, lagi buta, sehingga mereka tidak dapat kembali.",tuli bisu buta dapat,tuli bisu buta dapat,tuli bisu lagi buta sehingga mereka tidak dapat kembali
2,19,"Atau, seperti (orang yang ditimpa) hujan lebat dari langit yang disertai berbagai kegelapan, petir, dan kilat. Mereka menyumbat telinga dengan jari-jarinya (untuk menghindari) suara petir itu karena takut mati. Allah meliputi orang-orang yang kafir.)",seperti hujan lebat langit serta bagai gelap petir kilat sumbat telinga jari jari suara petir takut mati liput kafir,seperti hujan lebat langit disertai berbagai kegelapan petir kilat menyumbat telinga jari jarinya suara petir takut mati meliputi kafir,atau seperti hujan lebat dari langit yang disertai berbagai kegelapan petir dan kilat mereka menyumbat telinga dengan jari jarinya suara petir itu karena takut mati allah meliputi orang orang yang kafir
2,20,"Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjalan di bawah (sinar) itu. Apabila gelap menerpa mereka, mereka berdiri (tidak bergerak). Sekiranya Allah menghendaki, niscaya Dia menghilangkan pendengaran dan penglihatan mereka. Sesungguhnya Allah Maha Kuasa atas segala sesuatu.",hampir kilat sambar lihat kali sari jalan bawah apabila gelap terpa diri sekira hendak niscaya hilang dengar lihat maha kuasa atas segala,hampir kilat menyambar penglihatan kali menyinari berjalan bawah apabila gelap menerpa berdiri sekiranya menghendaki niscaya menghilangkan pendengaran penglihatan maha kuasa atas segala,hampir saja kilat itu menyambar penglihatan mereka setiap kali menyinari mereka berjalan di bawah itu apabila gelap menerpa mereka mereka berdiri sekiranya allah menghendaki niscaya dia menghilangkan pendengaran dan penglihatan mereka sesungguhnya allah maha kuasa atas segala sesuatu
2,21,"Wahai manusia, sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu agar kamu bertakwa.",wahai manusia sembah tuhan cipta takwa,wahai manusia sembahlah tuhanmu menciptakan bertakwa,wahai manusia sembahlah tuhanmu yang telah menciptakan kamu dan orang orang yang sebelum kamu agar kamu bertakwa
2,22,"(Dialah) yang menjadikan bagimu bumi (sebagai) hamparan dan langit sebagai atap, dan Dialah yang menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan (hujan) itu buah-buahan sebagai rezeki untuk kamu. Oleh karena itu, janganlah kamu mengadakan tandingan-tandingan bagi Allah, padahal kamu mengetahui.",jadi bagi bumi hampar langit atap dia turun air langit hasil buah buah rezeki jangan ada tanding tanding padahal tahu,menjadikan bagimu bumi hamparan langit atap dialah menurunkan air langit menghasilkan buah buahan rezeki janganlah mengadakan tandingan tandingan padahal mengetahui,yang menjadikan bagimu bumi hamparan dan langit sebagai atap dan dialah yang menurunkan air dari langit lalu dia menghasilkan dengan itu buah buahan sebagai rezeki untuk kamu oleh karena itu janganlah kamu mengadakan tandingan tandingan bagi allah padahal kamu mengetahui
2,23,"Jika kamu (tetap) dalam keraguan tentang apa (Al-Qur'an) yang Kami turunkan kepada hamba Kami (Nabi Muhammad), buatlah satu surah yang semisal dengannya dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.",ragu turun hamba buat satu surah misal dengan ajak tolong tolong benar,keraguan turunkan hamba buatlah satu surah semisal dengannya ajaklah penolong penolongmu benar,jika kamu dalam keraguan tentang apa yang kami turunkan kepada hamba kami buatlah satu surah yang semisal dengannya dan ajaklah penolong penolongmu selain allah jika kamu orang orang yang benar
2,24,"Jika kamu tidak (mampu) membuat(-nya) dan (pasti) kamu tidak akan (mampu) membuat(-nya), takutlah pada api neraka yang bahan bakarnya adalah manusia dan batu yang disediakan bagi orang-orang kafir.",buat buat takut api neraka bahan bakar manusia batu sedia kafir,membuat membuat takutlah api neraka bahan bakarnya manusia batu disediakan kafir,jika kamu tidak membuat dan kamu tidak akan membuat takutlah pada api neraka yang bahan bakarnya adalah manusia dan batu yang disediakan bagi orang orang kafir
2,25,"Sampaikanlah kabar gembira kepada orang-orang yang beriman dan beramal saleh bahwa untuk mereka (disediakan) surga-surga yang di bawahnya mengalir sungai-sungai. Setiap kali diberi rezeki buah-buahan darinya, mereka berkata,  Inilah rezeki yang diberikan kepada kami sebelumnya.” Mereka telah diberi (buah-buahan) yang serupa dan di sana mereka (memperoleh) pasangan-pasangan yang disucikan. Mereka kekal di dalamnya.",sampai kabar gembira iman amal saleh surga surga bawah alir sungai sungai kali beri rezeki buah buah dari ini rezeki beri belum beri rupa sana pasang pasang suci kekal dalam,sampaikanlah kabar gembira beriman beramal saleh surga surga bawahnya mengalir sungai sungai kali diberi rezeki buah buahan darinya inilah rezeki diberikan sebelumnya diberi serupa sana pasangan pasangan disucikan kekal dalamnya,sampaikanlah kabar gembira kepada orang orang yang beriman dan beramal saleh bahwa untuk mereka surga surga yang di bawahnya mengalir sungai sungai setiap kali diberi rezeki buah buahan darinya mereka berkata inilah rezeki yang diberikan kepada kami sebelumnya mereka telah diberi yang serupa dan di sana mereka pasangan pasangan yang disucikan mereka kekal di dalamnya
2,26,"Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil daripada itu.) Adapun orang-orang yang beriman mengetahui bahwa itu kebenaran dari Tuhannya. Akan tetapi, orang-orang kafir berkata,  Apa maksud Allah dengan perumpamaan ini?” Dengan (perumpamaan) itu banyak orang yang disesatkan-Nya.) Dengan itu pula banyak orang yang diberi-Nya petunjuk. Namun, tidak ada yang Dia sesatkan dengan (perumpamaan) itu, selain orang-orang fasik,)",segan buat umpama ekor nyamuk kecil adapun iman tahu benar tuhan kafir maksud umpama sesat beri tunjuk sesat fasik,segan membuat perumpamaan seekor nyamuk kecil adapun beriman mengetahui kebenaran tuhannya kafir maksud perumpamaan disesatkan diberi petunjuk sesatkan fasik,sesungguhnya allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil daripada itu adapun orang orang yang beriman mengetahui bahwa itu kebenaran dari tuhannya akan tetapi orang orang kafir berkata apa maksud allah dengan perumpamaan ini dengan itu banyak orang yang disesatkan nya dengan itu pula banyak orang yang diberi nya petunjuk namun tidak ada yang dia sesatkan dengan itu selain orang orang fasik
2,27,"(yaitu) orang-orang yang melanggar perjanjian Allah setelah (perjanjian) itu diteguhkan, memutuskan apa yang diperintahkan Allah untuk disambungkan (silaturahmi), dan berbuat kerusakan di bumi. Mereka itulah orang-orang yang rugi.",langgar janji teguh putus perintah sambung buat rusa bumi itu rugi,melanggar perjanjian diteguhkan memutuskan diperintahkan disambungkan berbuat kerusakan bumi itulah rugi,orang orang yang melanggar perjanjian allah setelah itu diteguhkan memutuskan apa yang diperintahkan allah untuk disambungkan dan berbuat kerusakan di bumi mereka itulah orang orang yang rugi
2,28,"Bagaimana kamu ingkar kepada Allah, padahal kamu (tadinya) mati, lalu Dia menghidupkan kamu, kemudian Dia akan mematikan kamu, Dia akan menghidupkan kamu kembali, dan kepada-Nyalah kamu dikembalikan?",ingkar padahal mati hidup mati hidup nyalah kembali,ingkar padahal mati menghidupkan mematikan menghidupkan nyalah dikembalikan,bagaimana kamu ingkar kepada allah padahal kamu mati lalu dia menghidupkan kamu kemudian dia akan mematikan kamu dia akan menghidupkan kamu kembali dan kepada nyalah kamu dikembalikan
2,29,"Dialah (Allah) yang menciptakan segala yang ada di bumi untukmu, kemudian Dia menuju ke langit, lalu Dia menyempurnakannya menjadi tujuh langit.) Dia Maha Mengetahui segala sesuatu.",dia cipta segala ada bumi untuk tuju langit sempurna tujuh langit maha tahu segala,dialah menciptakan segala ada bumi untukmu menuju langit menyempurnakannya tujuh langit maha mengetahui segala,dialah yang menciptakan segala yang ada di bumi untukmu kemudian dia menuju ke langit lalu dia menyempurnakannya menjadi tujuh langit dia maha mengetahui segala sesuatu
2,30,"(Ingatlah) ketika Tuhanmu berfirman kepada para malaikat,  Aku hendak menjadikan khalifah) di bumi.” Mereka berkata,  Apakah Engkau hendak menjadikan orang yang merusak dan menumpahkan darah di sana, sedangkan kami bertasbih memuji-Mu dan menyucikan nama-Mu?” Dia berfirman,  Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.”",tuhan malaikat hendak jadi khalifah bumi hendak jadi rusak tumpah darah sana tasbih puji suci nama tahu tahu,tuhanmu malaikat hendak menjadikan khalifah bumi hendak menjadikan merusak menumpahkan darah sana bertasbih memuji menyucikan nama mengetahui ketahui,ketika tuhanmu berfirman kepada para malaikat aku hendak menjadikan khalifah di bumi mereka berkata apakah engkau hendak menjadikan orang yang merusak dan menumpahkan darah di sana sedangkan kami bertasbih memuji mu dan menyucikan nama mu dia berfirman sesungguhnya aku mengetahui apa yang tidak kamu ketahui
2,31,"Dia mengajarkan kepada Adam nama-nama (benda) seluruhnya, kemudian Dia memperlihatkannya kepada para malaikat, seraya berfirman,  Sebutkan kepada-Ku nama-nama (benda) ini jika kamu benar!”",ajar adam nama nama seluruh lihat malaikat sebut nama nama benar,mengajarkan adam nama nama seluruhnya memperlihatkannya malaikat sebutkan nama nama benar,dia mengajarkan kepada adam nama nama seluruhnya kemudian dia memperlihatkannya kepada para malaikat seraya berfirman sebutkan kepada ku nama nama ini jika kamu benar
2,32,"Mereka menjawab,  Maha Suci Engkau. Tidak ada pengetahuan bagi kami, selain yang telah Engkau ajarkan kepada kami. Sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana.”",jawab maha suci ada tahu ajar engkau maha tahu maha bijaksana,menjawab maha suci ada pengetahuan ajarkan engkaulah maha mengetahui maha bijaksana,mereka menjawab maha suci engkau tidak ada pengetahuan bagi kami selain yang telah engkau ajarkan kepada kami sesungguhnya engkaulah yang maha mengetahui lagi maha bijaksana
2,33,"Dia (Allah) berfirman,  Wahai Adam, beri tahukanlah kepada mereka nama-nama benda itu!” Setelah dia (Adam) menyebutkan nama-nama itu, Dia berfirman,  Bukankah telah Kukatakan kepadamu bahwa Aku mengetahui rahasia langit dan bumi, dan Aku mengetahui apa yang kamu nyatakan dan apa yang selalu kamu sembunyikan?”",wahai adam beri tahu nama nama benda sebut nama nama dia bukankah kata kepada tahu rahasia langit bumi tahu nyata selalu sembunyi,wahai adam beri tahukanlah nama nama benda menyebutkan nama nama dia bukankah kukatakan kepadamu mengetahui rahasia langit bumi mengetahui nyatakan selalu sembunyikan,dia berfirman wahai adam beri tahukanlah kepada mereka nama nama benda itu setelah dia menyebutkan nama nama itu dia berfirman bukankah telah kukatakan kepadamu bahwa aku mengetahui rahasia langit dan bumi dan aku mengetahui apa yang kamu nyatakan dan apa yang selalu kamu sembunyikan
2,34,"(Ingatlah) ketika Kami berfirman kepada para malaikat,  Sujudlah kamu kepada Adam!” Maka, mereka pun sujud, kecuali Iblis.) Ia menolaknya dan menyombongkan diri, dan ia termasuk golongan kafir.",malaikat sujud adam sujud iblis tolak sombong diri masuk golong kafir,malaikat sujudlah adam sujud iblis menolaknya menyombongkan diri termasuk golongan kafir,ketika kami berfirman kepada para malaikat sujudlah kamu kepada adam maka mereka pun sujud kecuali iblis ia menolaknya dan menyombongkan diri dan ia termasuk golongan kafir
2,35,"Kami berfirman,  Wahai Adam, tinggallah engkau dan istrimu di dalam surga, makanlah dengan nikmat (berbagai makanan) yang ada di sana sesukamu, dan janganlah kamu dekati pohon ini,) sehingga kamu termasuk orang-orang zalim!”)",wahai adam tinggal istri surga makan nikmat ada sana suka jangan dekat pohon sehingga masuk zalim,wahai adam tinggallah istrimu surga makanlah nikmat ada sana sesukamu janganlah dekati pohon sehingga termasuk zalim,kami berfirman wahai adam tinggallah engkau dan istrimu di dalam surga makanlah dengan nikmat yang ada di sana sesukamu dan janganlah kamu dekati pohon ini sehingga kamu termasuk orang orang zalim
2,36,"Lalu, setan menggelincirkan keduanya darinya) sehingga keduanya dikeluarkan dari segala kenikmatan ketika keduanya ada di sana (surga). Kami berfirman,  Turunlah kamu! Sebagian kamu menjadi musuh bagi yang lain serta bagi kamu ada tempat tinggal dan kesenangan di bumi sampai waktu yang ditentukan.”",setan gelincir dua dari dua keluar segala nikmat dua sana turun bagi musuh tempat tinggal senang bumi waktu tentu,setan menggelincirkan keduanya darinya keduanya dikeluarkan segala kenikmatan keduanya sana turunlah sebagian musuh tempat tinggal kesenangan bumi waktu ditentukan,lalu setan menggelincirkan keduanya darinya sehingga keduanya dikeluarkan dari segala kenikmatan ketika keduanya ada di sana kami berfirman turunlah kamu sebagian kamu menjadi musuh bagi yang lain serta bagi kamu ada tempat tinggal dan kesenangan di bumi sampai waktu yang ditentukan
2,37,"Kemudian, Adam menerima beberapa kalimat) dari Tuhannya, lalu Dia pun menerima tobatnya. Sesungguhnya Dialah Yang Maha Penerima tobat lagi Maha Penyayang.",adam terima kalimat tuhan pun terima tobat dia maha terima tobat maha sayang,adam menerima kalimat tuhannya pun menerima tobatnya dialah maha penerima tobat maha penyayang,kemudian adam menerima beberapa kalimat dari tuhannya lalu dia pun menerima tobatnya sesungguhnya dialah yang maha penerima tobat lagi maha penyayang
2,38,"Kami berfirman,  Turunlah kamu semua dari surga! Lalu, jika benar-benar datang petunjuk-Ku kepadamu, siapa saja yang mengikuti petunjuk-Ku tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati.”",turun surga benar benar datang tunjuk kepada siapa ikut tunjuk ada rasa takut timpa pun sedih hati,turunlah surga benar benar datang petunjuk kepadamu siapa mengikuti petunjuk ada rasa takut menimpa pun bersedih hati,kami berfirman turunlah kamu semua dari surga lalu jika benar benar datang petunjuk ku kepadamu siapa saja yang mengikuti petunjuk ku tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati
2,39,"(Sementara itu,) orang-orang yang mengingkari dan mendustakan ayat-ayat Kami, mereka itulah penghuni neraka. Mereka kekal di dalamnya.",ingkar dusta ayat ayat huni neraka kekal dalam,mengingkari mendustakan ayat ayat penghuni neraka kekal dalamnya,orang orang yang mengingkari dan mendustakan ayat ayat kami mereka itulah penghuni neraka mereka kekal di dalamnya
2,40,"Wahai Bani Israil,) ingatlah nikmat-Ku yang telah Aku berikan kepadamu dan penuhilah janjimu kepada-Ku,) niscaya Aku penuhi janji-Ku kepadamu. Hanya kepada-Ku hendaknya kamu takut.",wahai bani israil ingat nikmat ikan kepada penuh janji niscaya penuh janji kepada hendak takut,wahai bani israil ingatlah nikmat berikan kepadamu penuhilah janjimu niscaya penuhi janji kepadamu hendaknya takut,wahai bani israil ingatlah nikmat ku yang telah aku berikan kepadamu dan penuhilah janjimu kepada ku niscaya aku penuhi janji ku kepadamu hanya kepada ku hendaknya kamu takut
2,41,Berimanlah kamu kepada apa (Al-Qur'an) yang telah Aku turunkan sebagai pembenar bagi apa yang ada pada kamu (Taurat) dan janganlah kamu menjadi orang yang pertama kafir kepadanya. Janganlah kamu menukarkan ayat-ayat-Ku dengan harga murah dan bertakwalah hanya kepada-Ku.,rim turun benar ada jangan pertama kafir kepada jangan tukar ayat ayat harga murah takwa,berimanlah turunkan pembenar ada janganlah pertama kafir kepadanya janganlah menukarkan ayat ayat harga murah bertakwalah,berimanlah kamu kepada apa yang telah aku turunkan sebagai pembenar bagi apa yang ada pada kamu dan janganlah kamu menjadi orang yang pertama kafir kepadanya janganlah kamu menukarkan ayat ayat ku dengan harga murah dan bertakwalah hanya kepada ku
2,42,"Janganlah kamu campuradukkan kebenaran dengan kebatilan) dan (jangan pula) kamu sembunyikan kebenaran, sedangkan kamu mengetahui(-nya).",jangan campuradukkan benar batil sembunyi benar tahu,janganlah campuradukkan kebenaran kebatilan sembunyikan kebenaran mengetahui,janganlah kamu campuradukkan kebenaran dengan kebatilan dan kamu sembunyikan kebenaran sedangkan kamu mengetahui
2,43,"Tegakkanlah salat, tunaikanlah zakat, dan rukuklah beserta orang-orang yang rukuk.",tegak salat tunai zakat rukuk serta rukuk,tegakkanlah salat tunaikanlah zakat rukuklah beserta rukuk,tegakkanlah salat tunaikanlah zakat dan rukuklah beserta orang orang yang rukuk
2,44,"Mengapa kamu menyuruh orang lain untuk (mengerjakan) kebajikan, sedangkan kamu melupakan dirimu sendiri, padahal kamu membaca kitab suci (Taurat)? Tidakkah kamu mengerti?",suruh kebaji lupa diri sendiri padahal baca kitab suci tidak erti,menyuruh kebajikan melupakan dirimu sendiri padahal membaca kitab suci tidakkah mengerti,mengapa kamu menyuruh orang lain untuk kebajikan sedangkan kamu melupakan dirimu sendiri padahal kamu membaca kitab suci tidakkah kamu mengerti
2,45,"Mohonlah pertolongan (kepada Allah) dengan sabar dan salat. Sesungguhnya (salat) itu benar-benar berat, kecuali bagi orang-orang yang khusyuk,",mohon tolong sabar salat benar benar berat bagi khusyuk,mohonlah pertolongan sabar salat benar benar berat bagi khusyuk,mohonlah pertolongan dengan sabar dan salat sesungguhnya itu benar benar berat kecuali bagi orang orang yang khusyuk
2,46,(yaitu) orang-orang yang meyakini bahwa mereka akan menemui Tuhannya dan hanya kepada-Nya mereka kembali.,yakin temu tuhan hanya,meyakini menemui tuhannya hanya,orang orang yang meyakini bahwa mereka akan menemui tuhannya dan hanya kepada nya mereka kembali
2,47,"Wahai Bani Israil, ingatlah nikmat-Ku yang telah Aku anugerahkan kepadamu dan sesungguhnya Aku telah melebihkan kamu daripada semua umat di alam ini (pada masa itu).",wahai bani israil ingat nikmat anugerah kepada lebih umat alam,wahai bani israil ingatlah nikmat anugerahkan kepadamu melebihkan umat alam,wahai bani israil ingatlah nikmat ku yang telah aku anugerahkan kepadamu dan sesungguhnya aku telah melebihkan kamu daripada semua umat di alam ini
2,48,"Takutlah kamu pada suatu hari (kiamat) yang seseorang tidak dapat membela orang lain sedikit pun, syafaat) dan tebusan apa pun darinya tidak diterima, dan mereka tidak akan ditolong.",takut hari orang dapat bela sedikit syafaat tebus dari terima tolong,takutlah hari seseorang dapat membela sedikit syafaat tebusan darinya diterima ditolong,takutlah kamu pada suatu hari yang seseorang tidak dapat membela orang lain sedikit pun syafaat dan tebusan apa pun darinya tidak diterima dan mereka tidak akan ditolong
2,49,(Ingatlah) ketika Kami menyelamatkan kamu dari (Fir‘aun dan) pengikut-pengikut Fir‘aun.) Mereka menimpakan siksaan yang sangat berat kepadamu. Mereka menyembelih anak-anak laki-lakimu dan membiarkan hidup anak-anak perempuanmu. Pada yang demikian terdapat cobaan yang sangat besar dari Tuhanmu.,selamat ikut ikut fir aun timpa siksa berat kepada sembelih anak anak laki laki biar hidup anak anak perempuan dapat coba besar tuhan,menyelamatkan pengikut pengikut fir aun menimpakan siksaan berat kepadamu menyembelih anak anak laki lakimu membiarkan hidup anak anak perempuanmu terdapat cobaan besar tuhanmu,ketika kami menyelamatkan kamu dari pengikut pengikut fir aun mereka menimpakan siksaan yang sangat berat kepadamu mereka menyembelih anak anak laki lakimu dan membiarkan hidup anak anak perempuanmu pada yang demikian terdapat cobaan yang sangat besar dari tuhanmu
2,50,"(Ingatlah) ketika Kami membelah laut untukmu, lalu Kami menyelamatkanmu dan menenggelamkan (Fir‘aun dan) pengikut-pengikut Fir‘aun, sedangkan kamu menyaksikan(-nya).)",belah laut untuk selamat tenggelam ikut ikut fir aun saksi,membelah laut untukmu menyelamatkanmu menenggelamkan pengikut pengikut fir aun menyaksikan,ketika kami membelah laut untukmu lalu kami menyelamatkanmu dan menenggelamkan pengikut pengikut fir aun sedangkan kamu menyaksikan
2,51,"(Ingatlah) ketika Kami menjanjikan (petunjuk Taurat) kepada Musa (melalui munajat selama) empat puluh malam.) Kemudian, kamu (Bani Israil) menjadikan (patung) anak sapi (sebagai sembahan) setelah (kepergian)-nya, dan kamu (menjadi) orang-orang zalim.",janji musa empat puluh malam jadi anak sapi zalim,menjanjikan musa empat puluh malam menjadikan anak sapi zalim,ketika kami menjanjikan kepada musa empat puluh malam kemudian kamu menjadikan anak sapi setelah nya dan kamu orang orang zalim
2,52,"Setelah itu, Kami memaafkan kamu agar kamu bersyukur.",maaf syukur,memaafkan bersyukur,setelah itu kami memaafkan kamu agar kamu bersyukur
2,53,(Ingatlah) ketika Kami memberikan kitab (Taurat) dan furqān kepada Musa agar kamu memperoleh petunjuk.),beri kitab furq n musa oleh tunjuk,memberikan kitab furqān musa memperoleh petunjuk,ketika kami memberikan kitab dan furqān kepada musa agar kamu memperoleh petunjuk
