Surat,Ayat,Teks,processed_advanced
2,18,"(Mereka) tuli, bisu, lagi buta, sehingga mereka tidak dapat kembali.",tuli bisu buta dapat
2,19,"Atau, seperti (orang yang ditimpa) hujan lebat dari langit yang disertai berbagai kegelapan, petir, dan kilat. Mereka menyumbat telinga dengan jari-jarinya (untuk menghindari) suara petir itu karena takut mati. Allah meliputi orang-orang yang kafir.)",seperti hujan lebat langit serta bagai gelap petir kilat sumbat telinga jari jari suara petir takut mati liput kafir
2,20,"Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjalan di bawah (sinar) itu. Apabila gelap menerpa mereka, mereka berdiri (tidak bergerak). Sekiranya Allah menghendaki, niscaya Dia menghilangkan pendengaran dan penglihatan mereka. Sesungguhnya Allah Maha Kuasa atas segala sesuatu.",hampir kilat sambar lihat kali sari jalan bawah apabila gelap terpa diri sekira hendak niscaya hilang dengar lihat maha kuasa atas segala
2,21,"Wahai manusia, sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu agar kamu bertakwa.",wahai manusia sembah tuhan cipta takwa
2,22,"(Dialah) yang menjadikan bagimu bumi (sebagai) hamparan dan langit sebagai atap, dan Dialah yang menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan (hujan) itu buah-buahan sebagai rezeki untuk kamu. Oleh karena itu, janganlah kamu mengadakan tandingan-tandingan bagi Allah, padahal kamu mengetahui.",jadi bagi bumi hampar langit atap dia turun air langit hasil buah buah rezeki jangan ada tanding tanding padahal tahu
2,23,"Jika kamu (tetap) dalam keraguan tentang apa (Al-Qur'an) yang Kami turunkan kepada hamba Kami (Nabi Muhammad), buatlah satu surah yang semisal dengannya dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.",ragu turun hamba buat satu surah misal dengan ajak tolong tolong benar
2,24,"Jika kamu tidak (mampu) membuat(-nya) dan (pasti) kamu tidak akan (mampu) membuat(-nya), takutlah pada api neraka yang bahan bakarnya adalah manusia dan batu yang disediakan bagi orang-orang kafir.",buat buat takut api neraka bahan bakar manusia batu sedia kafir
2,25,"Sampaikanlah kabar gembira kepada orang-orang yang beriman dan beramal saleh bahwa untuk mereka (disediakan) surga-surga yang di bawahnya mengalir sungai-sungai. Setiap kali diberi rezeki buah-buahan darinya, mereka berkata,  Inilah rezeki yang diberikan kepada kami sebelumnya.” Mereka telah diberi (buah-buahan) yang serupa dan di sana mereka (memperoleh) pasangan-pasangan yang disucikan. Mereka kekal di dalamnya.",sampai kabar gembira iman amal saleh surga surga bawah alir sungai sungai kali beri rezeki buah buah dari ini rezeki beri belum beri rupa sana pasang pasang suci kekal dalam
2,26,"Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil daripada itu.) Adapun orang-orang yang beriman mengetahui bahwa itu kebenaran dari Tuhannya. Akan tetapi, orang-orang kafir berkata,  Apa maksud Allah dengan perumpamaan ini?” Dengan (perumpamaan) itu banyak orang yang disesatkan-Nya.) Dengan itu pula banyak orang yang diberi-Nya petunjuk. Namun, tidak ada yang Dia sesatkan dengan (perumpamaan) itu, selain orang-orang fasik,)",segan buat umpama ekor nyamuk kecil adapun iman tahu benar tuhan kafir maksud umpama sesat beri tunjuk sesat fasik
2,27,"(yaitu) orang-orang yang melanggar perjanjian Allah setelah (perjanjian) itu diteguhkan, memutuskan apa yang diperintahkan Allah untuk disambungkan (silaturahmi), dan berbuat kerusakan di bumi. Mereka itulah orang-orang yang rugi.",langgar janji teguh putus perintah sambung buat rusak bumi itu rugi
2,28,"Bagaimana kamu ingkar kepada Allah, padahal kamu (tadinya) mati, lalu Dia menghidupkan kamu, kemudian Dia akan mematikan kamu, Dia akan menghidupkan kamu kembali, dan kepada-Nyalah kamu dikembalikan?",ingkar padahal mati hidup mati hidup nyalah kembali
2,29,"Dialah (Allah) yang menciptakan segala yang ada di bumi untukmu, kemudian Dia menuju ke langit, lalu Dia menyempurnakannya menjadi tujuh langit.) Dia Maha Mengetahui segala sesuatu.",dia cipta segala ada bumi untuk tuju langit sempurna tujuh langit maha tahu segala
2,30,"(Ingatlah) ketika Tuhanmu berfirman kepada para malaikat,  Aku hendak menjadikan khalifah) di bumi.” Mereka berkata,  Apakah Engkau hendak menjadikan orang yang merusak dan menumpahkan darah di sana, sedangkan kami bertasbih memuji-Mu dan menyucikan nama-Mu?” Dia berfirman,  Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.”",tuhan malaikat hendak jadi khalifah bumi hendak jadi rusak tumpah darah sana tasbih puji suci nama tahu tahu
2,31,"Dia mengajarkan kepada Adam nama-nama (benda) seluruhnya, kemudian Dia memperlihatkannya kepada para malaikat, seraya berfirman,  Sebutkan kepada-Ku nama-nama (benda) ini jika kamu benar!”",ajar adam nama nama seluruh lihat malaikat sebut nama nama benar
2,32,"Mereka menjawab,  Maha Suci Engkau. Tidak ada pengetahuan bagi kami, selain yang telah Engkau ajarkan kepada kami. Sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana.”",jawab maha suci ada tahu ajar engkau maha tahu maha bijaksana
2,33,"Dia (Allah) berfirman,  Wahai Adam, beri tahukanlah kepada mereka nama-nama benda itu!” Setelah dia (Adam) menyebutkan nama-nama itu, Dia berfirman,  Bukankah telah Kukatakan kepadamu bahwa Aku mengetahui rahasia langit dan bumi, dan Aku mengetahui apa yang kamu nyatakan dan apa yang selalu kamu sembunyikan?”",wahai adam beri tahu nama nama benda sebut nama nama bukankah kata kepada tahu rahasia langit bumi tahu nyata selalu sembunyi
2,34,"(Ingatlah) ketika Kami berfirman kepada para malaikat,  Sujudlah kamu kepada Adam!” Maka, mereka pun sujud, kecuali Iblis.) Ia menolaknya dan menyombongkan diri, dan ia termasuk golongan kafir.",malaikat sujud adam sujud iblis tolak sombong diri masuk golong kafir
2,35,"Kami berfirman,  Wahai Adam, tinggallah engkau dan istrimu di dalam surga, makanlah dengan nikmat (berbagai makanan) yang ada di sana sesukamu, dan janganlah kamu dekati pohon ini,) sehingga kamu termasuk orang-orang zalim!”)",wahai adam tinggal istri surga makan nikmat ada sana suka jangan dekat pohon sehingga masuk zalim
2,36,"Lalu, setan menggelincirkan keduanya darinya) sehingga keduanya dikeluarkan dari segala kenikmatan ketika keduanya ada di sana (surga). Kami berfirman,  Turunlah kamu! Sebagian kamu menjadi musuh bagi yang lain serta bagi kamu ada tempat tinggal dan kesenangan di bumi sampai waktu yang ditentukan.”",setan gelincir dua dari dua keluar segala nikmat dua sana turun bagi musuh tempat tinggal senang bumi waktu tentu
2,37,"Kemudian, Adam menerima beberapa kalimat) dari Tuhannya, lalu Dia pun menerima tobatnya. Sesungguhnya Dialah Yang Maha Penerima tobat lagi Maha Penyayang.",adam terima kalimat tuhan pun terima tobat dia maha terima tobat maha sayang
2,38,"Kami berfirman,  Turunlah kamu semua dari surga! Lalu, jika benar-benar datang petunjuk-Ku kepadamu, siapa saja yang mengikuti petunjuk-Ku tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati.”",turun surga benar benar datang tunjuk kepada siapa ikut tunjuk ada rasa takut timpa pun sedih hati
2,39,"(Sementara itu,) orang-orang yang mengingkari dan mendustakan ayat-ayat Kami, mereka itulah penghuni neraka. Mereka kekal di dalamnya.",ingkar dusta ayat ayat huni neraka kekal dalam
2,40,"Wahai Bani Israil,) ingatlah nikmat-Ku yang telah Aku berikan kepadamu dan penuhilah janjimu kepada-Ku,) niscaya Aku penuhi janji-Ku kepadamu. Hanya kepada-Ku hendaknya kamu takut.",wahai bani israil ingat nikmat ikan kepada penuh janji niscaya penuh janji kepada hendak takut
2,41,Berimanlah kamu kepada apa (Al-Qur'an) yang telah Aku turunkan sebagai pembenar bagi apa yang ada pada kamu (Taurat) dan janganlah kamu menjadi orang yang pertama kafir kepadanya. Janganlah kamu menukarkan ayat-ayat-Ku dengan harga murah dan bertakwalah hanya kepada-Ku.,rim turun benar ada jangan pertama kafir kepada jangan tukar ayat ayat harga murah takwa
2,42,"Janganlah kamu campuradukkan kebenaran dengan kebatilan) dan (jangan pula) kamu sembunyikan kebenaran, sedangkan kamu mengetahui(-nya).",jangan campuradukkan benar batil sembunyi benar tahu
2,43,"Tegakkanlah salat, tunaikanlah zakat, dan rukuklah beserta orang-orang yang rukuk.",tegak salat tunai zakat rukuk serta rukuk
2,44,"Mengapa kamu menyuruh orang lain untuk (mengerjakan) kebajikan, sedangkan kamu melupakan dirimu sendiri, padahal kamu membaca kitab suci (Taurat)? Tidakkah kamu mengerti?",suruh kebaji lupa diri sendiri padahal baca kitab suci tidak erti
2,45,"Mohonlah pertolongan (kepada Allah) dengan sabar dan salat. Sesungguhnya (salat) itu benar-benar berat, kecuali bagi orang-orang yang khusyuk,",mohon tolong sabar salat benar benar berat bagi khusyuk
2,46,(yaitu) orang-orang yang meyakini bahwa mereka akan menemui Tuhannya dan hanya kepada-Nya mereka kembali.,yakin temu tuhan hanya
2,47,"Wahai Bani Israil, ingatlah nikmat-Ku yang telah Aku anugerahkan kepadamu dan sesungguhnya Aku telah melebihkan kamu daripada semua umat di alam ini (pada masa itu).",wahai bani israil ingat nikmat anugerah kepada lebih umat alam
2,48,"Takutlah kamu pada suatu hari (kiamat) yang seseorang tidak dapat membela orang lain sedikit pun, syafaat) dan tebusan apa pun darinya tidak diterima, dan mereka tidak akan ditolong.",takut hari orang dapat bela sedikit syafaat tebus dari terima tolong
2,49,(Ingatlah) ketika Kami menyelamatkan kamu dari (Fir‘aun dan) pengikut-pengikut Fir‘aun.) Mereka menimpakan siksaan yang sangat berat kepadamu. Mereka menyembelih anak-anak laki-lakimu dan membiarkan hidup anak-anak perempuanmu. Pada yang demikian terdapat cobaan yang sangat besar dari Tuhanmu.,selamat ikut ikut fir aun timpa siksa berat kepada sembelih anak anak laki laki biar hidup anak anak perempuan dapat coba besar tuhan
2,50,"(Ingatlah) ketika Kami membelah laut untukmu, lalu Kami menyelamatkanmu dan menenggelamkan (Fir‘aun dan) pengikut-pengikut Fir‘aun, sedangkan kamu menyaksikan(-nya).)",belah laut untuk selamat tenggelam ikut ikut fir aun saksi
2,51,"(Ingatlah) ketika Kami menjanjikan (petunjuk Taurat) kepada Musa (melalui munajat selama) empat puluh malam.) Kemudian, kamu (Bani Israil) menjadikan (patung) anak sapi (sebagai sembahan) setelah (kepergian)-nya, dan kamu (menjadi) orang-orang zalim.",janji musa empat puluh malam jadi anak sapi zalim
2,52,"Setelah itu, Kami memaafkan kamu agar kamu bersyukur.",maaf syukur
2,53,(Ingatlah) ketika Kami memberikan kitab (Taurat) dan furqān kepada Musa agar kamu memperoleh petunjuk.),beri kitab furq n musa oleh tunjuk
2,54,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Wahai kaumku, sesungguhnya kamu telah menzalimi dirimu sendiri dengan menjadikan (patung) anak sapi (sebagai sembahan). Oleh karena itu, bertobatlah kepada Penciptamu dan bunuhlah dirimu.) Itu lebih baik bagimu dalam pandangan Penciptamu. Dia akan menerima tobatmu. Sesungguhnya Dialah Yang Maha Penerima Tobat lagi Maha Penyayang.",musa kaum wahai kaum zalim diri sendiri jadi anak sapi tobat cipta bunuh diri baik bagi pandang cipta terima tobat dia maha terima tobat maha sayang
2,55,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak akan beriman kepadamu sebelum melihat Allah dengan jelas.” Maka, halilintar menyambarmu dan kamu menyaksikan(-nya).",wahai musa iman kepada lihat jelas halilintar sambar saksi
2,56,"Kemudian, Kami membangkitkan kamu setelah kematianmu agar kamu bersyukur.",bangkit mati syukur
2,57,"Kami menaungi kamu dengan awan dan Kami menurunkan kepadamu manna dan salwa.) Makanlah (makanan) yang baik-baik dari rezeki yang telah Kami berikan kepadamu. Mereka tidak menzalimi Kami, tetapi justru merekalah yang menzalimi diri sendiri.",taung awan turun kepada manna salwa makan baik baik rezeki ikan kepada zalim justru mereka zalim diri sendiri
2,58,"(Ingatlah) ketika Kami berfirman,  Masuklah ke negeri ini (Baitulmaqdis). Lalu, makanlah dengan nikmat (berbagai makanan) yang ada di sana sesukamu. Masukilah pintu gerbangnya sambil membungkuk dan katakanlah, ‘Bebaskanlah kami (dari dosa-dosa kami),’ niscaya Kami mengampuni kesalahan-kesalahanmu. Kami akan menambah (karunia) kepada orang-orang yang berbuat kebaikan.”",masuk negeri makan nikmat ada sana suka masuk pintu gerbang bungkuk kata bebas niscaya ampun salah salah tambah buat baik
2,59,"Lalu, orang-orang yang zalim mengganti perintah dengan (perintah lain) yang tidak diperintahkan kepada mereka. Maka, Kami menurunkan malapetaka dari langit kepada orang-orang yang zalim itu karena mereka selalu berbuat fasik.",zalim ganti perintah perintah turun malapetaka langit zalim selalu buat fasik
2,60,"(Ingatlah) ketika Musa memohon (curahan) air untuk kaumnya. Lalu, Kami berfirman,  Pukullah batu itu dengan tongkatmu!” Maka, memancarlah darinya (batu itu) dua belas mata air. Setiap suku telah mengetahui tempat minumnya (masing-masing). 
Makan dan minumlah rezeki (yang diberikan) Allah dan janganlah melakukan kejahatan di bumi dengan berbuat kerusakan.",musa mohon air kaum pukul batu tongkat pancar dari belas mata air suku tahu tempat minum makan minum rezeki jangan laku jahat bumi buat rusak
2,61,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak tahan hanya (makan) dengan satu macam makanan. Maka, mohonkanlah kepada Tuhanmu untuk kami agar Dia memberi kami apa yang ditumbuhkan bumi, seperti sayur-mayur, mentimun, bawang putih, kacang adas, dan bawang merah.” Dia (Musa) menjawab,  Apakah kamu meminta sesuatu yang buruk sebagai ganti dari sesuatu yang baik? Pergilah ke suatu kota. Pasti kamu akan memperoleh apa yang kamu minta.” Kemudian, mereka ditimpa kenistaan dan kemiskinan, dan mereka (kembali) mendapat kemurkaan dari Allah. Hal itu (terjadi) karena sesungguhnya mereka selalu mengingkari ayat-ayat Allah dan membunuh para nabi tanpa hak (alasan yang benar). Yang demikian itu ditimpakan karena mereka durhaka dan selalu melampaui batas.",wahai musa tahan satu macam makan mohon tuhan beri tumbuh bumi sayur mayur mentimun bawang putih kacang adas bawang merah jawab minta buruk ganti sesuatu baik pergi kota oleh minta timpa nista miskin dapat murka selalu ingkar ayat ayat bunuh nabi hak timpa durhaka selalu lampau batas
2,62,"Sesungguhnya orang-orang yang beriman, orang-orang Yahudi, orang-orang Nasrani, dan orang-orang Sabiin,) siapa saja (di antara mereka) yang beriman kepada Allah dan hari Akhir serta melakukan kebajikan (pasti) mendapat pahala dari Tuhannya, tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati.)",iman yahudi nasrani sabiin siapa iman hari akhir laku kebaji dapat pahala tuhan ada rasa takut timpa pun sedih hati
2,63,"(Ingatlah) ketika Kami mengambil janjimu dan Kami angkat gunung (Sinai) di atasmu (seraya berfirman),  Pegang teguhlah apa yang telah Kami berikan kepadamu dan ingatlah apa yang ada di dalamnya agar kamu bertakwa.”",ambil janji angkat gunung atas pegang teguh ikan kepada ingat ada dalam takwa
2,64,"Setelah itu, kamu berpaling. Maka, seandainya bukan karena karunia Allah dan rahmat-Nya kepadamu, pasti kamu termasuk orang yang rugi.",paling anda karunia rahmat kepada masuk rugi
2,65,"Sungguh, kamu benar-benar telah mengetahui orang-orang yang melakukan pelanggaran di antara kamu pada hari Sabat, lalu Kami katakan kepada mereka,  Jadilah kamu kera yang hina!”",benar benar tahu laku langgar hari sabat kata jadi kera hina
2,66,"Maka, Kami jadikan (yang demikian) itu sebagai peringatan bagi orang-orang pada masa itu dan bagi mereka yang datang kemudian, serta menjadi pelajaran bagi orang-orang yang bertakwa.",jadi ingat masa datang ajar takwa
2,67,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Allah memerintahkan kamu agar menyembelih seekor sapi.” Mereka bertanya,  Apakah engkau akan menjadikan kami sebagai ejekan?” Dia menjawab,  Aku berlindung kepada Allah agar tidak termasuk orang-orang yang jahil.”)",musa kaum perintah sembelih ekor sapi tanya jadi ejek jawab lindung masuk jahil
2,68,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang (sapi) itu.” Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa sapi itu tidak tua dan tidak muda, (tetapi) pertengahan antara itu. Maka, kerjakanlah apa yang diperintahkan kepadamu.”",mohon tuhan jelas jawab sapi tua muda tengah kerja perintah kepada
2,69,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami apa warnanya.” Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa (sapi) itu adalah sapi yang warnanya kuning tua, yang menyenangkan orang-orang yang memandang(-nya).”",mohon tuhan jelas warna jawab sapi warna kuning tua senang pandang
2,70,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang (sapi) itu. (Karena) sesungguhnya sapi itu belum jelas bagi kami, dan jika Allah menghendakinya, niscaya kami mendapat petunjuk.”",mohon tuhan jelas sapi jelas hendak niscaya dapat tunjuk
2,71,"Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa (sapi) itu adalah sapi yang belum pernah dipakai untuk membajak tanah dan tidak (pula) untuk mengairi tanaman, sehat, dan tanpa belang.” Mereka berkata,  Sekarang barulah engkau menerangkan (hal) yang sebenarnya.” Lalu, mereka menyembelihnya, dan hampir saja mereka tidak melaksanakan (perintah) itu.",jawab sapi pernah pakai bajak tanah air tanam sehat belang sekarang baru terang benar sembelih hampir laksana
2,72,"(Ingatlah) ketika kamu membunuh seseorang lalu kamu saling tuduh tentang itu. Akan tetapi, Allah menyingkapkan apa yang selalu kamu sembunyikan.",bunuh orang saling tuduh singkap selalu sembunyi
2,73,"Lalu, Kami berfirman,  Pukullah (mayat) itu dengan bagian dari (sapi) itu!” Demikianlah Allah menghidupkan (orang) yang telah mati, dan Dia memperlihatkan kepadamu tanda-tanda (kekuasaan-Nya) agar kamu mengerti.",pukul bagi demikian hidup mati lihat kepada tanda tanda erti
2,74,"Setelah itu, hatimu menjadi keras sehingga ia (hatimu) seperti batu, bahkan lebih keras. Padahal, dari batu-batu itu pasti ada sungai-sungai yang (airnya) memancar. Ada pula yang terbelah, lalu keluarlah mata air darinya, dan ada lagi yang meluncur jatuh karena takut kepada Allah. Allah tidaklah lengah terhadap apa yang kamu kerjakan.",hati keras batu bahkan keras padahal batu batu pasti sungai sungai pancar pula belah keluar mata air dari ada luncur jatuh takut tidak lengah kerja
2,75,"Maka, apakah kamu (muslimin) sangat mengharapkan mereka agar percaya kepadamu, sedangkan segolongan mereka mendengar firman Allah lalu mereka mengubahnya setelah memahaminya, padahal mereka mengetahui(-nya)?",apakah harap percaya kepada golong dengar firman ubah paham padahal tahu
2,76,"Apabila berjumpa dengan orang-orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi, apabila kembali kepada sesamanya, mereka bertanya,  Apakah akan kamu ceritakan kepada mereka apa yang telah diterangkan Allah kepadamu sehingga mereka dapat menyanggah kamu di hadapan Tuhanmu? Apakah kamu tidak mengerti?”",apabila jumpa iman iman apabila sama tanya cerita terang kepada sanggah hadap tuhan erti
2,77,Tidakkah mereka tahu bahwa Allah mengetahui apa yang mereka sembunyikan dan apa yang mereka nyatakan?,tidak tahu tahu sembunyi nyata
2,78,"Di antara mereka ada yang umi (buta huruf), tidak memahami Kitab (Taurat), kecuali hanya berangan-angan dan mereka hanya menduga-duga.",ada umi paham kitab berangan angan hanya duga duga
2,79,"Celakalah orang-orang yang menulis kitab dengan tangan mereka (sendiri), kemudian berkata,  Ini dari Allah,” (dengan maksud) untuk menjualnya dengan harga murah. Maka, celakalah mereka karena tulisan tangan mereka dan celakalah mereka karena apa yang mereka perbuat.",celaka tulis kitab tangan jual harga murah celaka tulis tangan celaka buat
2,80,"Mereka berkata,  Neraka tidak akan menyentuh kami, kecuali beberapa hari saja.” Katakanlah,  Sudahkah kamu menerima janji dari Allah sehingga Allah tidak akan mengingkari janji-Nya ataukah kamu berkata tentang Allah sesuatu yang tidak kamu ketahui?”",neraka sentuh kecuali hari kata sudah terima janji ingkar janji atau tahu
2,81,"Bukan demikian! Siapa yang berbuat keburukan dan dosanya telah menenggelamkannya, mereka itulah penghuni neraka. Mereka kekal di dalamnya.",siapa buat keburu dosa tenggelam itu huni neraka kekal dalam
2,82,"Adapun orang-orang yang beriman dan beramal saleh, mereka itulah penghuni surga. Mereka kekal di dalamnya.",adapun iman amal saleh itu huni surga kekal dalam
2,83,"(Ingatlah) ketika Kami mengambil perjanjian dari Bani Israil,  Janganlah kamu menyembah selain Allah, dan berbuatbaiklah kepada kedua orang tua, kerabat, anak-anak yatim, dan orang-orang miskin. Selain itu, bertutur katalah yang baik kepada manusia, laksanakanlah salat, dan tunaikanlah zakat.” Akan tetapi, kamu berpaling (mengingkarinya), kecuali sebagian kecil darimu, dan kamu (masih menjadi) pembangkang.",ambil janji bani israil jangan sembah berbuatbaiklah dua tua kerabat anak anak yatim miskin tutur kata baik manusia laksana salat tunai zakat paling bagi kecil dari bangkang
2,84,"(Ingatlah) ketika Kami mengambil perjanjianmu (agar) kamu tidak menumpahkan darahmu (membunuh orang) dan mengusir dirimu (saudara sebangsamu) dari kampung halamanmu. Kemudian, kamu berikrar dan bersaksi.",ambil janji tumpah darah usir diri kampung halaman ikrar saksi
2,85,"Kemudian, kamu (Bani Israil) membunuh dirimu (sesamamu) dan mengusir segolongan darimu dari kampung halamannya. Kamu saling membantu (menghadapi) mereka dalam kejahatan dan permusuhan. Jika mereka datang kepadamu sebagai tawanan, kamu tebus mereka, padahal kamu dilarang mengusir mereka. Apakah kamu beriman pada sebagian Kitab (Taurat) dan ingkar pada sebagian (yang lain)? Maka, tidak ada balasan (yang pantas) bagi orang yang berbuat demikian di antaramu, selain kenistaan dalam kehidupan dunia dan pada hari Kiamat mereka dikembalikan pada azab yang paling berat. Allah tidak lengah terhadap apa yang kamu kerjakan.",bunuh diri usir golong dari kampung halaman saling bantu jahat musuh datang kepada tawan tebus padahal larang usir apakah iman bagi kitab ingkar bagi balas buat antara nista hidup dunia hari kiamat kembali azab paling berat lengah kerja
2,86,"Mereka itulah orang-orang yang membeli kehidupan dunia dengan (kehidupan) akhirat. Maka, azabnya tidak akan diringankan dan mereka tidak akan ditolong.",itu beli hidup dunia akhirat azab ringan tolong
2,87,"Sungguh, Kami benar-benar telah menganugerahkan Kitab (Taurat) kepada Musa dan Kami menyusulkan setelahnya rasul-rasul. Kami juga telah menganugerahkan kepada Isa, putra Maryam, bukti-bukti kebenaran, serta Kami perkuat dia dengan Ruhulkudus (Jibril). Mengapa setiap kali rasul datang kepadamu (membawa) sesuatu (pelajaran) yang tidak kamu inginkan, kamu menyombongkan diri? Lalu, sebagian(-nya) kamu dustakan dan sebagian (yang lain) kamu bunuh?",benar benar anugerah kitab musa susul telah rasul rasul anugerah isa putra maryam bukti bukti benar kuat ruhulkudus kali rasul datang kepada ingin sombong diri bagi dusta bagi bunuh
2,88,"Mereka berkata,  Hati kami tertutup.” Tidak! Allah telah melaknat mereka itu karena keingkaran mereka, tetapi sedikit sekali mereka yang beriman.",hati tutup laknat ingkar sedikit sekali iman
2,89,"Setelah sampai kepada mereka Kitab (Al-Qur'an) dari Allah yang membenarkan apa yang ada pada mereka, sedangkan sebelumnya mereka memohon kemenangan atas orang-orang kafir, ternyata setelah sampai kepada mereka apa yang telah mereka ketahui itu, mereka mengingkarinya. Maka, laknat Allahlah terhadap orang-orang yang ingkar.",sampai kitab benar ada belum mohon menang atas kafir nyata sampai tahu ingkar laknat allah ingkar
